GEOID,locality,region,year,group,total_children_in_care,fc_count_group,population_count_group,fc_per_bygroup,fc_per_byallfc,fc_rate_bygroup,fc_rate_byallfc
51540,Charlottesville,Piedmont,2021,white,76,16,4332,0.37,21.05,3.69,210.53
51540,Charlottesville,Piedmont,2021,asian,76,4,403,0.99,5.26,9.93,52.63
51540,Charlottesville,Piedmont,2021,multiracial,76,11,612,1.8,14.47,17.97,144.74
51540,Charlottesville,Piedmont,2021,hispanic,76,10,809,1.24,13.16,12.36,131.58
51,Virginia,Totals,2021,all,5288,5288,1892752,0.28,100,2.79,1000
51,Virginia,Totals,2021,black,5288,1495,371765,0.4,28.27,4.02,282.72
51,Virginia,Totals,2021,white,5288,3116,1104801,0.28,58.93,2.82,589.26
51,Virginia,Totals,2021,asian,5288,49,121920,0.04,0.93,0.4,9.27
51,Virginia,Totals,2021,multiracial,5288,505,203018,0.25,9.55,2.49,95.5
51,Virginia,Totals,2021,hispanic,5288,590,269411,0.22,11.16,2.19,111.57
51003,Albemarle,Piedmont,2022,all,101,101,22003,0.46,100,4.59,1000
51003,Albemarle,Piedmont,2022,black,101,30,1846,1.63,29.7,16.25,297.03
51003,Albemarle,Piedmont,2022,white,101,63,15940,0.4,62.38,3.95,623.76
51003,Albemarle,Piedmont,2022,asian,101,0,953,0,0,0,0
51003,Albemarle,Piedmont,2022,multiracial,101,7,2588,0.27,6.93,2.7,69.31
51003,Albemarle,Piedmont,2022,hispanic,101,21,2128,0.99,20.79,9.87,207.92
51540,Charlottesville,Piedmont,2022,all,57,57,7200,0.79,100,7.92,1000
51540,Charlottesville,Piedmont,2022,black,57,26,1786,1.46,45.61,14.56,456.14
51540,Charlottesville,Piedmont,2022,white,57,20,4096,0.49,35.09,4.88,350.88
51540,Charlottesville,Piedmont,2022,asian,57,3,339,0.88,5.26,8.85,52.63
51540,Charlottesville,Piedmont,2022,multiracial,57,8,895,0.89,14.04,8.94,140.35
51540,Charlottesville,Piedmont,2022,hispanic,57,8,798,1,14.04,10.03,140.35
51,Virginia,Totals,2022,all,5076,5076,1876826,0.27,100,2.7,1000
51,Virginia,Totals,2022,black,5076,1405,365872,0.38,27.68,3.84,276.79
51,Virginia,Totals,2022,white,5076,2998,1057820,0.28,59.06,2.83,590.62
51,Virginia,Totals,2022,asian,5076,53,121201,0.04,1.04,0.44,10.44
51,Virginia,Totals,2022,multiracial,5076,496,229786,0.22,9.77,2.16,97.71
51,Virginia,Totals,2022,hispanic,5076,545,274167,0.2,10.74,1.99,107.37
51003,Albemarle,Piedmont,2023,all,96,96,22432,0.43,100,4.28,1000
51003,Albemarle,Piedmont,2023,black,96,26,1916,1.36,27.08,13.57,270.83
51003,Albemarle,Piedmont,2023,white,96,54,15650,0.35,56.25,3.45,562.5
51003,Albemarle,Piedmont,2023,asian,96,0,1005,0,0,0,0
51003,Albemarle,Piedmont,2023,multiracial,96,14,2967,0.47,14.58,4.72,145.83
51003,Albemarle,Piedmont,2023,hispanic,96,21,2662,0.79,21.88,7.89,218.75
51540,Charlottesville,Piedmont,2023,all,49,49,7419,0.66,100,6.6,1000
51540,Charlottesville,Piedmont,2023,black,49,22,1725,1.28,44.9,12.75,448.98
51540,Charlottesville,Piedmont,2023,white,49,19,4289,0.44,38.78,4.43,387.76
51540,Charlottesville,Piedmont,2023,asian,49,2,358,0.56,4.08,5.59,40.82
51540,Charlottesville,Piedmont,2023,multiracial,49,6,957,0.63,12.24,6.27,122.45
51540,Charlottesville,Piedmont,2023,hispanic,49,8,928,0.86,16.33,8.62,163.27
51,Virginia,Totals,2023,all,5013,5013,1893985,0.26,100,2.65,1000
51,Virginia,Totals,2023,black,5013,1417,364648,0.39,28.27,3.89,282.67
51,Virginia,Totals,2023,white,5013,2928,1027519,0.28,58.41,2.85,584.08
51,Virginia,Totals,2023,asian,5013,49,119515,0.04,0.98,0.41,9.77
51,Virginia,Totals,2023,multiracial,5013,529,265385,0.2,10.55,1.99,105.53
51,Virginia,Totals,2023,hispanic,5013,595,294637,0.2,11.87,2.02,118.69
51003,Albemarle,Piedmont,2024,all,88,88,22438,0.39,100,3.92,1000
51003,Albemarle,Piedmont,2024,black,88,18,2032,0.89,20.45,8.86,204.55
51003,Albemarle,Piedmont,2024,white,88,59,15070,0.39,67.05,3.92,670.45
51003,Albemarle,Piedmont,2024,asian,88,0,1106,0,0,0,0
51003,Albemarle,Piedmont,2024,multiracial,88,9,3001,0.3,10.23,3,102.27
51003,Albemarle,Piedmont,2024,hispanic,88,21,2723,0.77,23.86,7.71,238.64
51540,Charlottesville,Piedmont,2024,all,78,78,7480,1.04,100,10.43,1000
51540,Charlottesville,Piedmont,2024,black,78,37,1309,2.83,47.44,28.27,474.36
51540,Charlottesville,Piedmont,2024,white,78,18,4137,0.44,23.08,4.35,230.77
51540,Charlottesville,Piedmont,2024,asian,78,2,354,0.56,2.56,5.65,25.64
51540,Charlottesville,Piedmont,2024,multiracial,78,21,1373,1.53,26.92,15.29,269.23
51540,Charlottesville,Piedmont,2024,hispanic,78,9,924,0.97,11.54,9.74,115.38
51,Virginia,Totals,2024,all,5362,5362,1890833,0.28,100,2.84,1000
51,Virginia,Totals,2024,black,5362,1554,356762,0.44,28.98,4.36,289.82
51,Virginia,Totals,2024,white,5362,3081,988493,0.31,57.46,3.12,574.6
51,Virginia,Totals,2024,asian,5362,51,118575,0.04,0.95,0.43,9.51
51,Virginia,Totals,2024,multiracial,5362,562,300464,0.19,10.48,1.87,104.81
51,Virginia,Totals,2024,hispanic,5362,634,302240,0.21,11.82,2.1,118.24
51003,Albemarle,Piedmont,2025,all,96,96,NA,NA,100,NA,1000
51003,Albemarle,Piedmont,2025,black,96,26,NA,NA,27.08,NA,270.83
51003,Albemarle,Piedmont,2025,white,96,60,NA,NA,62.5,NA,625
51003,Albemarle,Piedmont,2025,asian,96,0,NA,NA,0,NA,0
51003,Albemarle,Piedmont,2025,multiracial,96,9,NA,NA,9.38,NA,93.75
51003,Albemarle,Piedmont,2025,hispanic,96,15,NA,NA,15.62,NA,156.25
51540,Charlottesville,Piedmont,2025,all,108,108,NA,NA,100,NA,1000
51540,Charlottesville,Piedmont,2025,black,108,58,NA,NA,53.7,NA,537.04
51540,Charlottesville,Piedmont,2025,white,108,28,NA,NA,25.93,NA,259.26
51540,Charlottesville,Piedmont,2025,asian,108,1,NA,NA,0.93,NA,9.26
51540,Charlottesville,Piedmont,2025,multiracial,108,21,NA,NA,19.44,NA,194.44
51540,Charlottesville,Piedmont,2025,hispanic,108,11,NA,NA,10.19,NA,101.85
51,Virginia,Totals,2025,all,5715,5715,NA,NA,100,NA,1000
51,Virginia,Totals,2025,black,5715,1764,NA,NA,30.87,NA,308.66
51,Virginia,Totals,2025,white,5715,3204,NA,NA,56.06,NA,560.63
51,Virginia,Totals,2025,asian,5715,54,NA,NA,0.94,NA,9.45
51,Virginia,Totals,2025,multiracial,5715,581,NA,NA,10.17,NA,101.66
51,Virginia,Totals,2025,hispanic,5715,682,NA,NA,11.93,NA,119.34
