School Year,NCES LEA ID,LEA,Data Description,Value,Population,Subgroup
2020-2021,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,39,Homeless Students,All Students in LEA
2020-2021,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,114,Homeless Students,All Students in LEA
2020-2021,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2020-2021,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2020-2021,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2020-2021,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,622,Homeless Students,All Students in LEA
2020-2021,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,86,Homeless Students,All Students in LEA
2020-2021,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,79,Homeless Students,All Students in LEA
2020-2021,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,45,Homeless Students,All Students in LEA
2020-2021,5103950,WEST POINT PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2020-2021,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2020-2021,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,205,Homeless Students,All Students in LEA
2020-2021,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,183,Homeless Students,All Students in LEA
2020-2021,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,207,Homeless Students,All Students in LEA
2020-2021,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,45,Homeless Students,All Students in LEA
2020-2021,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,172,Homeless Students,All Students in LEA
2019-2020,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,217,Homeless Students,All Students in LEA
2019-2020,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,188,Homeless Students,All Students in LEA
2019-2020,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,164,Homeless Students,All Students in LEA
2019-2020,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2019-2020,5100180,AMELIA CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2019-2020,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,62,Homeless Students,All Students in LEA
2019-2020,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2019-2020,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,177,Homeless Students,All Students in LEA
2019-2020,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,99,Homeless Students,All Students in LEA
2019-2020,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,79,Homeless Students,All Students in LEA
2019-2020,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2019-2020,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students in LEA
2019-2020,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students in LEA
2019-2020,5100480,BRUNSWICK CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2019-2020,5100510,BUCHANAN CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students in LEA
2019-2020,5100540,BUCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students in LEA
2019-2020,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,58,Homeless Students,All Students in LEA
2019-2020,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,77,Homeless Students,All Students in LEA
2019-2020,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students in LEA
2019-2020,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students in LEA
2019-2020,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,57,Homeless Students,All Students in LEA
2019-2020,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,158,Homeless Students,All Students in LEA
2019-2020,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,769,Homeless Students,All Students in LEA
2019-2020,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2019-2020,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2019-2020,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,41,Homeless Students,All Students in LEA
2019-2020,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5101020,CRAIG CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2019-2020,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,111,Homeless Students,All Students in LEA
2019-2020,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,55,Homeless Students,All Students in LEA
2019-2020,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2019-2020,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students in LEA
2019-2020,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,23,Homeless Students,All Students in LEA
2019-2020,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,1684,Homeless Students,All Students in LEA
2019-2020,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2019-2020,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,263,Homeless Students,All Students in LEA
2019-2020,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2019-2020,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,66,Homeless Students,All Students in LEA
2019-2020,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,40,Homeless Students,All Students in LEA
2019-2020,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2019-2020,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,244,Homeless Students,All Students in LEA
2019-2020,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,134,Homeless Students,All Students in LEA
2019-2020,5101560,GALAX CITY PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2019-2020,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2019-2020,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students in LEA
2019-2020,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2019-2020,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2019-2020,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,37,Homeless Students,All Students in LEA
2019-2020,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,19,Homeless Students,All Students in LEA
2019-2020,5101770,HALIFAX CO PBLC SCHS,Homeless Students Enrolled,48,Homeless Students,All Students in LEA
2019-2020,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,341,Homeless Students,All Students in LEA
2019-2020,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,44,Homeless Students,All Students in LEA
2019-2020,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,105,Homeless Students,All Students in LEA
2019-2020,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,922,Homeless Students,All Students in LEA
2019-2020,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2019-2020,5101950,HIGHLAND CO PBLC SCHS,Homeless Students Enrolled,3,Homeless Students,All Students in LEA
2019-2020,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students in LEA
2019-2020,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2019-2020,5102070,KING AND QUEEN CO PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students in LEA
2019-2020,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,73,Homeless Students,All Students in LEA
2019-2020,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2019-2020,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2019-2020,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2019-2020,5102220,LEXINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,2449,Homeless Students,All Students in LEA
2019-2020,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students in LEA
2019-2020,5102310,LUNENBURG CO PBLC SCHS,Homeless Students Enrolled,49,Homeless Students,All Students in LEA
2019-2020,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,176,Homeless Students,All Students in LEA
2019-2020,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,58,Homeless Students,All Students in LEA
2019-2020,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students in LEA
2019-2020,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students in LEA
2019-2020,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2019-2020,5102430,MATHEWS CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2019-2020,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students in LEA
2019-2020,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students in LEA
2019-2020,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,135,Homeless Students,All Students in LEA
2019-2020,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students in LEA
2019-2020,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,26,Homeless Students,All Students in LEA
2019-2020,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,554,Homeless Students,All Students in LEA
2019-2020,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,785,Homeless Students,All Students in LEA
2019-2020,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,124,Homeless Students,All Students in LEA
2019-2020,5102730,NORTHUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2019-2020,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,17,Homeless Students,All Students in LEA
2019-2020,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,30,Homeless Students,All Students in LEA
2019-2020,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,33,Homeless Students,All Students in LEA
2019-2020,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,54,Homeless Students,All Students in LEA
2019-2020,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,68,Homeless Students,All Students in LEA
2019-2020,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,444,Homeless Students,All Students in LEA
2019-2020,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students in LEA
2019-2020,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2019-2020,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,208,Homeless Students,All Students in LEA
2019-2020,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students in LEA
2019-2020,5103060,PRINCE EDWARD CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students in LEA
2019-2020,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,52,Homeless Students,All Students in LEA
2019-2020,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,538,Homeless Students,All Students in LEA
2019-2020,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,43,Homeless Students,All Students in LEA
2019-2020,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students in LEA
2019-2020,5103210,RAPPAHANNOCK CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2019-2020,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,852,Homeless Students,All Students in LEA
2019-2020,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2019-2020,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,552,Homeless Students,All Students in LEA
2019-2020,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,52,Homeless Students,All Students in LEA
2019-2020,5103370,ROCKBRIDGE CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students in LEA
2019-2020,5103390,ROCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,105,Homeless Students,All Students in LEA
2019-2020,5103420,RUSSELL CO PBLC SCHS,Homeless Students Enrolled,6,Homeless Students,All Students in LEA
2019-2020,5103460,SALEM CITY PBLC SCHS,Homeless Students Enrolled,28,Homeless Students,All Students in LEA
2019-2020,5103480,SCOTT CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students in LEA
2019-2020,5103510,SHENANDOAH CO PBLC SCHS,Homeless Students Enrolled,92,Homeless Students,All Students in LEA
2019-2020,5103520,SMYTH CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students in LEA
2019-2020,5103600,SOUTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students in LEA
2019-2020,5103640,SPOTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,507,Homeless Students,All Students in LEA
2019-2020,5103660,STAFFORD CO PBLC SCHS,Homeless Students Enrolled,217,Homeless Students,All Students in LEA
2019-2020,5103690,STAUNTON CITY PBLC SCHS,Homeless Students Enrolled,66,Homeless Students,All Students in LEA
2019-2020,5103710,SUFFOLK CITY PBLC SCHS,Homeless Students Enrolled,143,Homeless Students,All Students in LEA
2019-2020,5103750,SURRY CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students in LEA
2019-2020,5103780,SUSSEX CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students in LEA
2019-2020,5103810,TAZEWELL CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students in LEA
2019-2020,5103840,VA BEACH CITY PBLC SCHS,Homeless Students Enrolled,792,Homeless Students,All Students in LEA
2019-2020,5103870,WARREN CO PBLC SCHS,Homeless Students Enrolled,60,Homeless Students,All Students in LEA
2019-2020,5103900,WASHINGTON CO PBLC SCHS,Homeless Students Enrolled,103,Homeless Students,All Students in LEA
2019-2020,5103930,WAYNESBORO CITY PBLC SCHS,Homeless Students Enrolled,55,Homeless Students,All Students in LEA
2019-2020,5103950,WEST POINT PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5103980,WESTMORELAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students in LEA
2019-2020,5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Homeless Students Enrolled,345,Homeless Students,All Students in LEA
2019-2020,5104050,WINCHESTER CITY PBLC SCHS,Homeless Students Enrolled,188,Homeless Students,All Students in LEA
2019-2020,5104080,WISE CO PBLC SCHS,Homeless Students Enrolled,247,Homeless Students,All Students in LEA
2019-2020,5104110,WYTHE CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students in LEA
2019-2020,5104150,YORK CO PBLC SCHS,Homeless Students Enrolled,146,Homeless Students,All Students in LEA
2018-2019,5100060,ACCOMACK CO PBLC SCHS,Homeless Students Enrolled,295,Homeless Students,All Students
2018-2019,5100090,ALBEMARLE CO PBLC SCHS,Homeless Students Enrolled,254,Homeless Students,All Students
2018-2019,5100120,ALEXANDRIA CITY PBLC SCHS,Homeless Students Enrolled,211,Homeless Students,All Students
2018-2019,5100152,ALLEGHANY CO PBLC SCHS,Homeless Students Enrolled,22,Homeless Students,All Students
2018-2019,5100180,AMELIA CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5100210,AMHERST CO PBLC SCHS,Homeless Students Enrolled,79,Homeless Students,All Students
2018-2019,5100240,APPOMATTOX CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students
2018-2019,5100270,ARLINGTON CO PBLC SCHS,Homeless Students Enrolled,182,Homeless Students,All Students
2018-2019,5100300,AUGUSTA CO PBLC SCHS,Homeless Students Enrolled,145,Homeless Students,All Students
2018-2019,5100330,BATH CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5100360,BEDFORD CO PBLC SCHS,Homeless Students Enrolled,71,Homeless Students,All Students
2018-2019,5100390,BLAND CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2018-2019,5100420,BOTETOURT CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students
2018-2019,5100450,BRISTOL CITY PBLC SCHS,Homeless Students Enrolled,93,Homeless Students,All Students
2018-2019,5100480,BRUNSWICK CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5100540,BUCKINGHAM CO PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students
2018-2019,5100560,BUENA VISTA CITY PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students
2018-2019,5100600,CAMPBELL CO PBLC SCHS,Homeless Students Enrolled,70,Homeless Students,All Students
2018-2019,5100660,CAROLINE CO PBLC SCHS,Homeless Students Enrolled,106,Homeless Students,All Students
2018-2019,5100690,CARROLL CO PBLC SCHS,Homeless Students Enrolled,68,Homeless Students,All Students
2018-2019,5100720,CHARLES CITY CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students
2018-2019,5100750,CHARLOTTE CO PBLC SCHS,Homeless Students Enrolled,9,Homeless Students,All Students
2018-2019,5100780,CHARLOTTESVILLE CTY PBLC SCHS,Homeless Students Enrolled,97,Homeless Students,All Students
2018-2019,5100810,CHESAPEAKE CITY PBLC SCHS,Homeless Students Enrolled,168,Homeless Students,All Students
2018-2019,5100840,CHESTERFIELD CO PBLC SCHS,Homeless Students Enrolled,897,Homeless Students,All Students
2018-2019,5100870,CLARKE CO PBLC SCHS,Homeless Students Enrolled,15,Homeless Students,All Students
2018-2019,5100930,COLONIAL BEACH PBLC SCHS,Homeless Students Enrolled,32,Homeless Students,All Students
2018-2019,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,Homeless Students Enrolled,36,Homeless Students,All Students
2018-2019,5100990,COVINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5101020,CRAIG CO PBLC SCHS,Homeless Students Enrolled,5,Homeless Students,All Students
2018-2019,5101050,CULPEPER CO PBLC SCHS,Homeless Students Enrolled,115,Homeless Students,All Students
2018-2019,5101080,CUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5101110,DANVILLE CITY PBLC SCHS,Homeless Students Enrolled,90,Homeless Students,All Students
2018-2019,5101140,DICKENSON CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5101170,DINWIDDIE CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students
2018-2019,5101200,ESSEX CO PBLC SCHS,Homeless Students Enrolled,25,Homeless Students,All Students
2018-2019,5101260,FAIRFAX CO PBLC SCHS,Homeless Students Enrolled,2467,Homeless Students,All Students
2018-2019,5101290,FALLS CHURCH CITY PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2018-2019,5101320,FAUQUIER CO PBLC SCHS,Homeless Students Enrolled,304,Homeless Students,All Students
2018-2019,5101350,FLOYD CO PBLC SCHS,Homeless Students Enrolled,7,Homeless Students,All Students
2018-2019,5101380,FLUVANNA CO PBLC SCHS,Homeless Students Enrolled,52,Homeless Students,All Students
2018-2019,5101410,FRANKLIN CITY PBLC SCHS,Homeless Students Enrolled,47,Homeless Students,All Students
2018-2019,5101440,FRANKLIN CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2018-2019,5101470,FREDERICK CO PBLC SCHS,Homeless Students Enrolled,225,Homeless Students,All Students
2018-2019,5101510,FREDERICKSBURG CITY PBLC SCHS,Homeless Students Enrolled,203,Homeless Students,All Students
2018-2019,5101560,GALAX CITY PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2018-2019,5101590,GILES CO PBLC SCHS,Homeless Students Enrolled,11,Homeless Students,All Students
2018-2019,5101620,GLOUCESTER CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2018-2019,5101650,GOOCHLAND CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2018-2019,5101690,GRAYSON CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2018-2019,5101710,GREENE CO PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students
2018-2019,5101740,GREENSVILLE CO PBLC SCHS,Homeless Students Enrolled,20,Homeless Students,All Students
2018-2019,5101770,HALIFAX CO PBLC SCHS,Homeless Students Enrolled,44,Homeless Students,All Students
2018-2019,5101800,HAMPTON CITY PBLC SCHS,Homeless Students Enrolled,389,Homeless Students,All Students
2018-2019,5101830,HANOVER CO PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students
2018-2019,5101860,HARRISONBURG CITY PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students
2018-2019,5101890,HENRICO CO PBLC SCHS,Homeless Students Enrolled,1126,Homeless Students,All Students
2018-2019,5101920,HENRY CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students
2018-2019,5101980,HOPEWELL CITY PBLC SCHS,Homeless Students Enrolled,59,Homeless Students,All Students
2018-2019,5102010,ISLE OF WIGHT CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students
2018-2019,5102070,KING AND QUEEN CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2018-2019,5102100,KING GEO CO PBLC SCHS,Homeless Students Enrolled,70,Homeless Students,All Students
2018-2019,5102120,KING WILLIAM CO PBLC SCHS,Homeless Students Enrolled,21,Homeless Students,All Students
2018-2019,5102160,LANCASTER CO PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students
2018-2019,5102190,LEE CO PBLC SCHS,Homeless Students Enrolled,8,Homeless Students,All Students
2018-2019,5102220,LEXINGTON CITY PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5102250,LOUDOUN CO PBLC SCHS,Homeless Students Enrolled,2459,Homeless Students,All Students
2018-2019,5102280,LOUISA CO PBLC SCHS,Homeless Students Enrolled,34,Homeless Students,All Students
2018-2019,5102310,LUNENBURG CO PBLC SCHS,Homeless Students Enrolled,38,Homeless Students,All Students
2018-2019,5102340,LYNCHBURG CITY PBLC SCHS,Homeless Students Enrolled,252,Homeless Students,All Students
2018-2019,5102360,MANASSAS CITY PBLC SCHS,Homeless Students Enrolled,84,Homeless Students,All Students
2018-2019,5102370,MADISON CO PBLC SCHS,Homeless Students Enrolled,20,Homeless Students,All Students
2018-2019,5102390,MANASSAS PARK CITY PBLC SCHS,Homeless Students Enrolled,31,Homeless Students,All Students
2018-2019,5102400,MARTINSVILLE CITY PBLC SCHS,Homeless Students Enrolled,64,Homeless Students,All Students
2018-2019,5102430,MATHEWS CO PBLC SCHS,Homeless Students Enrolled,12,Homeless Students,All Students
2018-2019,5102460,MECKLENBURG CO PBLC SCHS,Homeless Students Enrolled,13,Homeless Students,All Students
2018-2019,5102490,MIDDLESEX CO PBLC SCHS,Homeless Students Enrolled,10,Homeless Students,All Students
2018-2019,5102520,MONTGOMERY CO PBLC SCHS,Homeless Students Enrolled,234,Homeless Students,All Students
2018-2019,5102580,NELSON CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students
2018-2019,5102610,NEW KENT CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students
2018-2019,5102640,NEWPORT NEWS CITY PBLC SCHS,Homeless Students Enrolled,749,Homeless Students,All Students
2018-2019,5102670,NORFOLK CITY PBLC SCHS,Homeless Students Enrolled,661,Homeless Students,All Students
2018-2019,5102710,NORTHAMPTON CO PBLC SCHS,Homeless Students Enrolled,127,Homeless Students,All Students
2018-2019,5102730,NORTHUMBERLAND CO PBLC SCHS,Homeless Students Enrolled,4,Homeless Students,All Students
2018-2019,5102760,NORTON CITY PBLC SCHS,Homeless Students Enrolled,35,Homeless Students,All Students
2018-2019,5102790,NOTTOWAY CO PBLC SCHS,Homeless Students Enrolled,29,Homeless Students,All Students
2018-2019,5102820,ORANGE CO PBLC SCHS,Homeless Students Enrolled,49,Homeless Students,All Students
2018-2019,5102850,PAGE CO PBLC SCHS,Homeless Students Enrolled,83,Homeless Students,All Students
2018-2019,5102880,PATRICK CO PBLC SCHS,Homeless Students Enrolled,46,Homeless Students,All Students
2018-2019,5102910,PETERSBURG CITY PBLC SCHS,Homeless Students Enrolled,418,Homeless Students,All Students
2018-2019,5102940,PITTSYLVANIA CO PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students
2018-2019,5102980,POQUOSON CITY PBLC SCHS,Homeless Students Enrolled,18,Homeless Students,All Students
2018-2019,5103000,PORTSMOUTH CITY PBLC SCHS,Homeless Students Enrolled,220,Homeless Students,All Students
2018-2019,5103030,POWHATAN CO PBLC SCHS,Homeless Students Enrolled,24,Homeless Students,All Students
2018-2019,5103060,PRINCE EDWARD CO PBLC SCHS,Homeless Students Enrolled,S,Homeless Students,All Students
2018-2019,5103090,PRINCE GEORGE CO PBLC SCHS,Homeless Students Enrolled,52,Homeless Students,All Students
2018-2019,5103130,PRINCE WILLIAM CO PBLC SCHS,Homeless Students Enrolled,484,Homeless Students,All Students
2018-2019,5103150,PULASKI CO PBLC SCHS,Homeless Students Enrolled,85,Homeless Students,All Students
2018-2019,5103180,RADFORD CITY PBLC SCHS,Homeless Students Enrolled,53,Homeless Students,All Students
2018-2019,5103210,RAPPAHANNOCK CO PBLC SCHS,Homeless Students Enrolled,16,Homeless Students,All Students
2018-2019,5103240,RICHMOND CITY PBLC SCHS,Homeless Students Enrolled,1189,Homeless Students,All Students
2018-2019,5103270,RICHMOND CO PBLC SCHS,Homeless Students Enrolled,14,Homeless Students,All Students
2018-2019,5103300,ROANOKE CITY PBLC SCHS,Homeless Students Enrolled,730,Homeless Students,All Students
2018-2019,5103330,ROANOKE CO PBLC SCHS,Homeless Students Enrolled,71,Homeless Students,All Students
